code,name_kanji,name_kana,name_kana_breakdown,name_kana_notes,name_romaji,prefecture_kanji,prefecture_kana,prefecture_kana_breakdown,prefecture_romaji,latitude,longitude
11002,札幌市,さっぽろし,"さっ,ぽろ,し",,sapporoshi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.05,141.35
12025,函館市,はこだてし,"はこ,だて,し",,hakodateshi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,41.76666667,140.7166667
12033,小樽市,おたるし,"お,たる,し",,otarushi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.18333333,140.9833333
12041,旭川市,あさひかわし,"あさひ,かわ,し",,asahikawashi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.76666667,142.35
12050,室蘭市,むろらんし,"むろ,らん,し",,muroranshi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.3,140.9666667
12068,釧路市,くしろし,"くし,ろ,し",,kushiroshi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.98333333,144.3666667
12076,帯広市,おびひろし,"おび,ひろ,し",,obihiroshi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.91666667,143.1833333
12084,北見市,きたみし,"きた,み,し",,kitamishi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.8,143.8833333
12092,夕張市,ゆうばりし,"ゆう,ばり,し",,yuubarishi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.05,141.9666667
12106,岩見沢市,いわみざわし,"いわ,み,ざわ,し",,iwamizawashi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.18333333,141.7666667
12114,網走市,あばしりし,"あ,ばしり,し",,abashirishi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.01666667,144.2666667
12122,留萌市,るもいし,"る,もい,し",,rumoishi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.93333333,141.6333333
12131,苫小牧市,とまこまいし,"とま,こ,まい,し",,tomakomaishi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.63333333,141.6
12149,稚内市,わっかないし,"わっか,ない,し",,wakkanaishi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,45.4,141.6666667
12157,美唄市,びばいし,"び,ばい,し",,bibaishi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.31666667,141.85
12165,芦別市,あしべつし,"あし,べつ,し",,ashibetsushi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.51666667,142.1833333
12173,江別市,えべつし,"え,べつ,し",,ebetsushi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.1,141.5333333
12181,赤平市,あかびらし,"あか,びら,し",,akabirashi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.55,142.0333333
12190,紋別市,もんべつし,"もん,べつ,し",,monbetsushi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.35,143.35
12203,士別市,しべつし,"し,べつ,し",,shibetsushi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.16666667,142.4
12211,名寄市,なよろし,"な,よろ,し",,nayoroshi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.35,142.45
12220,三笠市,みかさし,"み,かさ,し",,mikasashi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.23333333,141.8666667
12238,根室市,ねむろし,"ね,むろ,し",,nemuroshi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.31666667,145.5666667
12246,千歳市,ちとせし,"ち,とせ,し",,chitoseshi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.81666667,141.65
12254,滝川市,たきかわし,"たき,かわ,し",,takikawashi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.55,141.9
12262,砂川市,すながわし,"すな,がわ,し",,sunagawashi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.48333333,141.9
12271,歌志内市,うたしないし,"うた,し,ない,し",,utashinaishi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.51666667,142.0333333
12289,深川市,ふかがわし,"ふか,がわ,し",,fukagawashi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.71666667,142.05
12297,富良野市,ふらのし,"ふ,ら,の,し",,furanoshi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.33333333,142.3833333
12301,登別市,のぼりべつし,"のぼり,べつ,し",,noboribetsushi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.4,141.1
12319,恵庭市,えにわし,"え,にわ,し",,eniwashi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.86666667,141.5666667
12335,伊達市,だてし,"だ,て,し",,dateshi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.46666667,140.85
12343,北広島市,きたひろしまし,"きた,ひろ,しま,し",,kitahiroshimashi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.98333333,141.55
12351,石狩市,いしかりし,"いし,かり,し",,ishikarishi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.16666667,141.3
12360,北斗市,ほくとし,"ほく,と,し",,hokutoshi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,41.81666667,140.65
13030,当別町,とうべつちょう,"とう,べつ,ちょう",,toubetsuchou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.21666667,141.5166667
13048,新篠津村,しんしのつむら,"しん,しの,つ,むら",,shinshinotsumura,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.21666667,141.6333333
13315,松前町,まつまえちょう,"まつ,まえ,ちょう",,matsumaechou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,41.41666667,140.1
13323,福島町,ふくしまちょう,"ふく,しま,ちょう",,fukushimachou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,41.48333333,140.25
13331,知内町,しりうちちょう,"しり,うち,ちょう",,shiriuchichou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,41.58333333,140.4166667
13340,木古内町,きこないちょう,"きこ,ない,ちょう,",,kikonaichou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,41.66666667,140.4333333
13374,七飯町,ななえちょう,"なな,え,ちょう",,nanaechou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,41.88333333,140.6833333
13439,鹿部町,しかべちょう,"しか,べ,ちょう",,shikabechou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.03333333,140.8
13455,森町,もりまち,"もり,まち",,morimachi,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.1,140.5666667
13463,八雲町,やくもちょう,"や,くも,ちょう",,yakumochou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.25,140.25
13471,長万部町,おしゃまんべちょう,"おしゃ,まん,べ,ちょう",,oshamanbechou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.5,140.3666667
13617,江差町,えさしちょう,"え,さし,ちょう",,esashichou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,41.86666667,140.1166667
13625,上ノ国町,かみのくにちょう,"かみ,の,くに,ちょう",,kaminokunichou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,41.8,140.1166667
13633,厚沢部町,あっさぶちょう,"あっ,さ,ぶ,ちょう",,assabuchou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,41.91666667,140.2166667
13641,乙部町,おとべちょう,"おと,べ,ちょう",,otobechou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,41.96666667,140.1333333
13676,奥尻町,おくしりちょう,"おく,しり,ちょう",,okushirichou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.16666667,139.5
13706,今金町,いまかねちょう,"いま,かね,ちょう",,imakanechou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.41666667,140.0
13714,せたな町,せたなちょう,"せたな,ちょう",,setanachou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.4,139.8666667
13919,島牧村,しままきむら,"しま,まき,むら",,shimamakimura,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.7,140.05
13927,寿都町,すっつちょう,"すっ,つ,ちょう",,suttsuchou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.78333333,140.2166667
13935,黒松内町,くろまつないちょう,"くろ,まつ,ない,ちょう",,kuromatsunaichou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.66666667,140.3
13943,蘭越町,らんこしちょう,"らん,こし,ちょう",,rankoshichou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.8,140.5166667
13951,ニセコ町,にせこちょう,"にせこ,ちょう",,nisekochou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.8,140.6833333
13960,真狩村,まっかりむら,"まっ,かり,むら",,makkarimura,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.75,140.8
13978,留寿都村,るすつむら,"る,す,つ,むら",,rusutsumura,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.73333333,140.8666667
13986,喜茂別町,きもべつちょう,"き,も,べつ,ちょう",,kimobetsuchou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.78333333,140.9333333
13994,京極町,きょうごくちょう,"きょう,ごく,ちょう",,kyougokuchou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.85,140.8833333
14001,倶知安町,くっちゃんちょう,"くっ,ちゃん,ちょう",,kutchanchou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.9,140.75
14010,共和町,きょうわちょう,"きょう,わ,ちょう",,kyouwachou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.96666667,140.6
14028,岩内町,いわないちょう,"いわ,ない,ちょう",,iwanaichou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.96666667,140.5
14036,泊村,とまりむら,"とまり,むら",,tomarimura,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.05,140.4833333
14044,神恵内村,かもえないむら,"か,もえ,ない,むら",,kamoenaimura,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.13333333,140.4166667
14052,積丹町,しゃこたんちょう,"しゃこ,たん,ちょう",,shakotanchou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.28333333,140.5833333
14061,古平町,ふるびらちょう,"ふる,びら,ちょう",,furubirachou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.25,140.6333333
14079,仁木町,にきちょう,"にき,ちょう",,nikichou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.15,140.75
14087,余市町,よいちちょう,"よ,いち,ちょう",,yoichichou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.18333333,140.7833333
14095,赤井川村,あかいがわむら,"あか,い,がわ,むら",,akaigawamura,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.08333333,140.8
14231,南幌町,なんぽろちょう,"なん,ぽろ,ちょう",,nanporochou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.05,141.65
14249,奈井江町,ないえちょう,"な,い,え,ちょう",,naiechou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.41666667,141.8666667
14257,上砂川町,かみすながわちょう,"かみ,すな,がわ,ちょう",,kamisunagawachou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.46666667,141.9666667
14273,由仁町,ゆにちょう,"ゆ,に,ちょう",,yunichou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.98333333,141.7833333
14281,長沼町,ながぬまちょう,"なが,ぬま,ちょう",,naganumachou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.0,141.6833333
14290,栗山町,くりやまちょう,"くり,やま,ちょう",,kuriyamachou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.05,141.7833333
14303,月形町,つきがたちょう,"つき,がた,ちょう",,tsukigatachou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.33333333,141.6666667
14311,浦臼町,うらうすちょう,"うら,うす,ちょう",,urausuchou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.41666667,141.8166667
14320,新十津川町,しんとつかわちょう,"しん,と,つ,かわ,ちょう",,shintotsukawachou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.53333333,141.8666667
14338,妹背牛町,もせうしちょう,"も,せ,うし,ちょう",,moseushichou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.7,141.95
14346,秩父別町,ちっぷべつちょう,"ちっ,ぷ,べつ,ちょう",,chippubetsuchou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.76666667,141.95
14362,雨竜町,うりゅうちょう,"う,りゅう,ちょう",,uryuuchou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.63333333,141.8833333
14371,北竜町,ほくりゅうちょう,"ほく,りゅう,ちょう",,hokuryuuchou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.71666667,141.8666667
14389,沼田町,ぬまたちょう,"ぬま,た,ちょう",,numatachou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.8,141.9333333
14524,鷹栖町,たかすちょう,"たか,す,ちょう",,takasuchou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.83333333,142.35
14532,東神楽町,ひがしかぐらちょう,"ひがし,かぐ,ら,ちょう",,higashikagurachou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.68333333,142.45
14541,当麻町,とうまちょう,"とう,ま,ちょう",,toumachou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.81666667,142.5
14559,比布町,ぴっぷちょう,"ぴっ,ぷ,ちょう",,pippuchou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.86666667,142.4666667
14567,愛別町,あいべつちょう,"あい,べつ,ちょう",,aibetsuchou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.9,142.5666667
14575,上川町,かみかわちょう,"かみ,かわ,ちょう",,kamikawachou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.83333333,142.7666667
14583,東川町,ひがしかわちょう,"ひがし,かわ,ちょう",,higashikawachou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.68333333,142.5
14591,美瑛町,びえいちょう,"び,えい,ちょう",,bieichou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.58333333,142.4666667
14605,上富良野町,かみふらのちょう,"かみ,ふ,ら,の,ちょう",,kamifuranochou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.45,142.4666667
14613,中富良野町,なかふらのちょう,"なか,ふ,ら,の,ちょう",,nakafuranochou,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.4,142.4166667
